recent_team,season,completions,attempts,passing_yards,passing_tds,interceptions,sacks,rushing_yards,rushing_tds
DET,2013,371,634,4650.0,29,19.0,23.0,1792.0,15
DET,2014,393,646,4607.0,23,13.0,48.0,1512.0,12
DET,2015,420,632,4463.0,33,14.0,44.0,1335.0,7
GB,2013,383,596,4715.0,26,16.0,49.0,2260.0,18
GB,2014,392,605,4941.0,42,8.0,33.0,2171.0,14
GB,2015,393,653,4296.0,35,9.0,49.0,2126.0,10
HOU,2013,371,633,4183.0,19,22.0,42.0,1743.0,7
HOU,2014,295,485,3460.0,22,13.0,26.0,2161.0,12
HOU,2015,373,653,4215.0,29,16.0,39.0,1845.0,7
IND,2013,399,668,4726.0,29,17.0,36.0,1912.0,16
IND,2014,480,781,5829.0,45,20.0,30.0,1908.0,12
IND,2015,355,619,3928.0,26,19.0,37.0,1438.0,6
JAX,2013,349,592,3751.0,16,21.0,50.0,1260.0,7
JAX,2014,325,557,3451.0,15,18.0,71.0,1633.0,9
JAX,2015,355,607,4428.0,35,18.0,51.0,1473.0,5
KC,2013,363,592,3939.0,28,8.0,43.0,2206.0,18
KC,2014,320,493,3428.0,19,6.0,49.0,1918.0,18
KC,2015,356,545,3929.0,22,8.0,50.0,2320.0,21
LA,2013,301,506,3360.0,22,11.0,36.0,1752.0,10
LA,2014,327,515,3695.0,20,16.0,47.0,1635.0,11
LA,2015,273,473,2931.0,11,11.0,18.0,1956.0,16
LAC,2013,408,587,4823.0,35,11.0,35.0,2226.0,11
LAC,2014,380,574,4296.0,31,18.0,37.0,1367.0,6
LAC,2015,442,667,4855.0,30,13.0,40.0,1358.0,4
LV,2013,298,519,3629.0,17,20.0,44.0,2000.0,16
LV,2014,365,629,3456.0,22,16.0,28.0,1240.0,4
LV,2015,373,605,4129.0,34,14.0,33.0,1457.0,7
MIA,2013,357,594,3966.0,24,19.0,58.0,1440.0,8
MIA,2014,394,595,4066.0,27,12.0,46.0,1872.0,12
MIA,2015,365,588,4231.0,24,12.0,45.0,1496.0,11
MIN,2013,325,546,3645.0,18,19.0,44.0,2081.0,23
MIN,2014,322,517,3566.0,18,18.0,51.0,1804.0,12
MIN,2015,311,478,3392.0,14,9.0,48.0,2269.0,18
NE,2013,417,691,4818.0,26,11.0,44.0,2363.0,26
NE,2014,486,745,5263.0,45,13.0,30.0,1975.0,17
NE,2015,459,727,5424.0,39,9.0,42.0,1486.0,16
NO,2013,490,724,5721.0,41,14.0,40.0,1766.0,12
NO,2014,456,659,4952.0,33,17.0,30.0,1818.0,16
NO,2015,460,667,5205.0,32,12.0,32.0,1491.0,16
NYG,2013,325,567,3875.0,18,29.0,40.0,1332.0,11
NYG,2014,383,607,4470.0,30,14.0,30.0,1603.0,13
NYG,2015,392,623,4500.0,36,14.0,27.0,1609.0,5
NYJ,2013,266,480,3270.0,13,22.0,47.0,2158.0,12
NYJ,2014,287,498,3206.0,16,15.0,47.0,2243.0,11
NYJ,2015,362,604,4170.0,33,16.0,22.0,1868.0,11
PHI,2013,333,541,4601.0,34,9.0,48.0,2628.0,20
PHI,2014,384,621,4581.0,27,21.0,32.0,1992.0,16
PHI,2015,405,623,4341.0,23,18.0,37.0,1743.0,15
PIT,2013,377,586,4306.0,28,14.0,43.0,1383.0,9
PIT,2014,444,660,5353.0,34,12.0,38.0,1820.0,10
PIT,2015,435,663,5401.0,27,22.0,40.0,1976.0,17
SEA,2013,310,489,4032.0,30,9.0,51.0,2612.0,18
SEA,2014,329,527,4235.0,27,12.0,52.0,3218.0,23
SEA,2015,377,563,4569.0,38,11.0,53.0,2443.0,10
SF,2013,289,501,3786.0,24,11.0,45.0,2655.0,21
SF,2014,292,487,3407.0,20,10.0,52.0,2176.0,10
SF,2015,322,526,3646.0,16,12.0,53.0,1544.0,7
TB,2013,291,514,3181.0,22,12.0,47.0,1612.0,6
TB,2014,301,531,3623.0,21,20.0,52.0,1375.0,7
TB,2015,312,535,4042.0,22,15.0,27.0,2162.0,12
TEN,2013,328,533,3710.0,22,16.0,37.0,1894.0,16
TEN,2014,299,513,3738.0,20,16.0,50.0,1447.0,6
TEN,2015,342,551,3893.0,25,17.0,54.0,1485.0,10
WAS,2013,355,611,4057.0,20,19.0,43.0,2164.0,14
WAS,2014,364,547,4461.0,18,18.0,58.0,1691.0,15
WAS,2015,415,601,4623.0,31,11.0,33.0,1650.0,10
