recent_team,season,completions,attempts,passing_yards,passing_tds,interceptions,sacks,rushing_yards,rushing_tds
ARI,2013,363,574,4291.0,24,22.0,41.0,1540.0,12
ARI,2014,336,596,4072.0,22,14.0,32.0,1335.0,7
ARI,2015,401,644,5359.0,39,19.0,33.0,2017.0,17
ATL,2013,444,658,4549.0,26,17.0,44.0,1247.0,11
ATL,2014,418,632,4758.0,28,15.0,31.0,1498.0,11
ATL,2015,410,621,4602.0,21,17.0,32.0,1606.0,13
BAL,2013,363,619,3914.0,19,23.0,48.0,1328.0,7
BAL,2014,390,628,4537.0,33,14.0,20.0,2208.0,17
BAL,2015,426,676,4449.0,21,21.0,24.0,1478.0,8
BUF,2013,299,522,3373.0,16,15.0,48.0,2307.0,15
BUF,2014,363,579,3856.0,23,13.0,39.0,1482.0,7
BUF,2015,295,465,3600.0,23,9.0,42.0,2432.0,19
CAR,2013,308,498,3646.0,25,15.0,48.0,2119.0,14
CAR,2014,368,613,4272.0,27,15.0,45.0,2356.0,11
CAR,2015,353,592,4634.0,38,12.0,42.0,2696.0,25
CHI,2013,373,579,4450.0,32,13.0,30.0,1828.0,13
CHI,2014,396,609,4035.0,30,19.0,41.0,1441.0,8
CHI,2015,334,523,3843.0,21,12.0,34.0,1854.0,13
CIN,2013,393,638,4652.0,34,22.0,32.0,1868.0,14
CIN,2014,341,538,3706.0,20,17.0,26.0,2257.0,20
CIN,2015,357,546,4316.0,32,10.0,35.0,1896.0,19
CLE,2013,379,681,4372.0,26,20.0,49.0,1383.0,4
CLE,2014,274,502,3678.0,12,16.0,31.0,1728.0,17
CLE,2015,371,609,4156.0,20,12.0,53.0,1529.0,5
DAL,2013,375,586,4226.0,33,12.0,35.0,1504.0,12
DAL,2014,362,526,4492.0,41,11.0,40.0,2572.0,18
DAL,2015,334,528,3677.0,16,22.0,33.0,1890.0,8
DEN,2013,552,803,6482.0,60,13.0,21.0,2140.0,17
DEN,2014,425,653,4990.0,41,15.0,19.0,1873.0,15
DEN,2015,419,698,4755.0,21,24.0,48.0,2016.0,15
