player_id,season,season_type,completions,attempts,passing_yards,passing_tds,interceptions,sacks,sack_yards,sack_fumbles,sack_fumbles_lost,passing_air_yards,passing_yards_after_catch,passing_first_downs,passing_epa,passing_2pt_conversions,pacr,dakota,carries,rushing_yards,rushing_tds,rushing_fumbles,rushing_fumbles_lost,rushing_first_downs,rushing_epa,rushing_2pt_conversions,receptions,targets,receiving_yards,receiving_tds,receiving_fumbles,receiving_fumbles_lost,receiving_air_yards,receiving_yards_after_catch,receiving_first_downs,receiving_epa,receiving_2pt_conversions,racr,target_share,air_yards_share,wopr_x,special_teams_tds,fantasy_points,fantasy_points_ppr,games,tgt_sh,ay_sh,yac_sh,wopr_y,ry_sh,rtd_sh,rfd_sh,rtdfd_sh,dom,w8dom,yptmpa,ppr_sh
00-0019596,2019,REG,373,613,4057.0,24,8.0,27.0,185.0,3,1,4613.0,1863.0,193.0,31.495536933869403,1,14.739259707018444,1.3741073944917566,26,34.0,3,0.0,0.0,8.0,0.8319189805644012,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,263.68,263.68,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17892136905246586
00-0019596,2020,REG,401,610,4633.0,40,12.0,21.0,143.0,1,0,5532.0,1810.0,233.0,133.306173572968,0,13.480106637924505,2.8546430218677945,30,6.0,3,3.0,1.0,6.0,-18.18605189642156,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,337.92,337.92,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19709076486987764
00-0019596,2021,REG,485,719,5316.0,43,12.0,22.0,144.0,3,2,5804.0,2534.0,269.0,145.71488371139247,0,16.02689856101568,2.4575664605084473,28,81.0,2,1.0,1.0,14.0,3.850478549111787,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,374.74,374.74,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1957050793286053
00-0020531,2019,REG,281,378,2979.0,27,4.0,12.0,89.0,0,0,2425.0,1495.0,159.0,93.79557738414712,0,13.487758183490776,1.8799012362353626,9,-4.0,1,0.0,0.0,2.0,2.232561841025017,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,224.76,224.76,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1906523029943167
00-0020531,2020,REG,275,390,2942.0,24,6.0,13.0,89.0,6,2,2361.0,1478.0,149.0,69.72044695507294,0,15.637096256248567,1.5455517447875238,18,-2.0,2,0.0,0.0,4.0,-4.355731324154787,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,209.48000000000002,209.48000000000002,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1711102398222571
00-0021206,2019,REG,3,5,24.0,0,0.0,0.0,0.0,0,0,22.0,15.0,2.0,1.1289297543116845,0,1.0909090909090908,0.04296032309569281,2,-2.0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.76,0.76,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004984914075823166
00-0022127,2019,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,63,83,529.0,4,1.0,1.0,546.0,162.0,27.0,19.241698911857018,1,19.91025385896278,2.3545168408906076,1.7885913924141652,4.783789236025827,0.0,76.9,139.9,16,0.1390284757118928,0.09727418492784608,0.08617021276595745,0.28636206151011606,0.10791513667890656,0.13333333333333333,0.11790393013100436,0.11969111969111969,0.12062423500611995,0.11299877600979193,0.8860971524288107,0.0838940260737116
00-0022127,2020,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,13,17,69.0,2,0.0,0.0,91.0,20.0,8.0,2.4071779592057236,0,7.333333333333333,0.5612074926379758,0.384409805839928,1.1108981030449132,0.0,18.9,31.9,10,0.05029585798816568,0.03298296484233418,0.014803849000740192,0.10183015885611586,0.025246981339187707,0.09523809523809523,0.061068702290076333,0.06578947368421052,0.06024253828864147,0.039245204118969215,0.20414201183431951,0.03230314322747894
00-0022787,2019,REG,50,67,580.0,3,1.0,2.0,19.0,1,1,488.0,266.0,30.0,25.777006570070256,1,3.143371590656734,0.8790277279689592,3,-3.0,0,0.0,0.0,0.0,-3.3060206074733287,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,32.900000000000006,32.900000000000006,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06799206414813591
00-0022787,2020,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,3,-4.0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,-0.4,-0.4,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.004739336492890996
