recent_team,season,completions,attempts,passing_yards,passing_tds,interceptions,sacks,rushing_yards,rushing_tds
ARI,2019,352,551,3827.0,20,12.0,50.0,1954.0,18
ARI,2020,387,575,4102.0,27,13.0,29.0,2237.0,22
ARI,2021,434,625,4756.0,27,13.0,41.0,2137.0,24
ATL,2019,459,684,5049.0,29,15.0,50.0,1361.0,10
ATL,2020,408,628,4620.0,27,11.0,41.0,1532.0,13
ATL,2021,377,573,3987.0,20,15.0,40.0,1451.0,11
BAL,2019,320,499,3715.0,38,10.0,32.0,3472.0,21
BAL,2020,294,467,3320.0,27,13.0,41.0,3457.0,26
BAL,2021,396,611,4267.0,21,18.0,57.0,2479.0,18
BUF,2019,324,561,3756.0,22,12.0,43.0,2226.0,13
BUF,2020,487,716,5603.0,45,12.0,35.0,1980.0,17
BUF,2021,463,717,5087.0,45,16.0,29.0,2488.0,23
CAR,2019,382,633,4134.0,17,21.0,58.0,1819.0,20
CAR,2020,373,550,4129.0,16,16.0,36.0,1704.0,19
CAR,2021,348,599,3573.0,14,21.0,52.0,1842.0,17
CHI,2019,371,580,3573.0,20,12.0,45.0,1458.0,8
CHI,2020,421,643,4124.0,27,16.0,37.0,1695.0,12
CHI,2021,332,542,3635.0,16,20.0,58.0,2018.0,14
CIN,2019,356,616,3994.0,18,16.0,48.0,1517.0,9
CIN,2020,372,581,3793.0,19,11.0,48.0,1668.0,13
CIN,2021,482,698,5917.0,42,16.0,74.0,2085.0,17
CLE,2019,319,540,3903.0,23,21.0,41.0,1920.0,15
CLE,2020,359,572,4168.0,31,9.0,27.0,2613.0,24
CLE,2021,320,520,3619.0,21,14.0,49.0,2471.0,20
DAL,2019,388,597,4902.0,30,11.0,23.0,2153.0,18
DAL,2020,413,639,4511.0,25,13.0,44.0,1788.0,14
DAL,2021,468,691,5233.0,41,12.0,38.0,2196.0,16
DEN,2019,312,504,3401.0,16,10.0,41.0,1662.0,11
DEN,2020,317,556,3673.0,21,23.0,32.0,1918.0,13
DEN,2021,354,541,3856.0,20,9.0,40.0,2025.0,16
DET,2019,344,571,4187.0,28,15.0,43.0,1649.0,7
DET,2020,374,582,4397.0,27,13.0,42.0,1499.0,17
DET,2021,396,593,3884.0,23,14.0,36.0,1886.0,12
GB,2019,403,639,4586.0,30,6.0,41.0,1966.0,21
GB,2020,428,610,4941.0,53,6.0,26.0,2373.0,18
GB,2021,422,622,4751.0,39,7.0,38.0,1967.0,14
HOU,2019,406,611,4718.0,30,14.0,61.0,2244.0,19
HOU,2020,383,546,4843.0,33,7.0,50.0,1466.0,10
HOU,2021,354,546,3630.0,21,15.0,44.0,1422.0,8
IND,2019,307,513,3314.0,22,10.0,32.0,2130.0,17
IND,2020,398,598,4495.0,26,11.0,21.0,2159.0,21
IND,2021,324,521,3588.0,27,8.0,32.0,2540.0,22
JAX,2019,364,589,4023.0,24,8.0,42.0,1708.0,3
JAX,2020,387,616,3955.0,25,16.0,44.0,1519.0,9
JAX,2021,361,604,3674.0,12,17.0,32.0,1755.0,13
KC,2019,450,688,5591.0,40,7.0,32.0,1928.0,22
KC,2020,502,755,5921.0,44,10.0,29.0,2143.0,16
KC,2021,538,798,5996.0,49,16.0,37.0,2382.0,18
LA,2019,397,632,4669.0,22,17.0,22.0,1499.0,20
LA,2020,425,642,4541.0,22,14.0,32.0,2278.0,21
LA,2021,505,749,6121.0,50,21.0,38.0,2009.0,12
LAC,2019,394,597,4648.0,24,20.0,34.0,1453.0,12
LAC,2020,413,627,4548.0,31,10.0,34.0,1784.0,12
LAC,2021,443,674,5014.0,38,15.0,31.0,1834.0,18
LV,2019,367,523,4110.0,22,8.0,29.0,1893.0,13
LV,2020,369,551,4383.0,28,10.0,28.0,1916.0,20
LV,2021,458,682,5118.0,24,15.0,43.0,1720.0,14
MIA,2019,371,615,4117.0,22,18.0,58.0,1152.0,10
MIA,2020,370,559,3937.0,24,13.0,34.0,1688.0,15
MIA,2021,404,615,3936.0,21,14.0,40.0,1568.0,12
MIN,2019,359,526,4143.0,28,9.0,37.0,2290.0,21
MIN,2020,349,516,4265.0,35,13.0,39.0,2283.0,20
MIN,2021,398,604,4450.0,34,7.0,30.0,1930.0,10
NE,2019,398,657,4362.0,25,10.0,28.0,1801.0,18
NE,2020,283,440,3124.0,12,14.0,37.0,2346.0,20
NE,2021,388,573,4330.0,26,15.0,31.0,2240.0,24
NO,2019,445,615,4689.0,37,7.0,28.0,1835.0,13
NO,2020,418,596,4400.0,32,11.0,30.0,2492.0,31
NO,2021,293,504,3437.0,29,13.0,37.0,1991.0,12
NYG,2019,376,607,4070.0,30,17.0,43.0,1685.0,11
NYG,2020,321,517,3336.0,12,11.0,50.0,1768.0,13
NYG,2021,351,593,3463.0,15,20.0,38.0,1688.0,8
NYJ,2019,323,521,3443.0,19,16.0,52.0,1257.0,6
NYJ,2020,292,499,3115.0,16,14.0,43.0,1683.0,9
NYJ,2021,357,603,3959.0,20,20.0,53.0,1667.0,14
PHI,2019,410,641,4240.0,27,8.0,44.0,2059.0,16
PHI,2020,334,598,3728.0,22,20.0,65.0,2027.0,16
PHI,2021,330,537,3843.0,21,12.0,33.0,2810.0,26
PIT,2019,315,510,3214.0,18,19.0,32.0,1447.0,7
PIT,2020,475,724,4630.0,39,15.0,14.0,1403.0,13
PIT,2021,454,708,4232.0,25,11.0,40.0,1639.0,10
SEA,2019,380,578,4712.0,33,6.0,54.0,2374.0,18
SEA,2020,399,590,4419.0,42,14.0,53.0,2107.0,15
SEA,2021,324,495,3815.0,30,7.0,46.0,2074.0,18
SF,2019,368,536,4456.0,30,16.0,40.0,2917.0,30
SF,2020,371,570,4320.0,25,17.0,39.0,1889.0,19
SF,2021,386,588,4972.0,28,17.0,37.0,2491.0,24
TB,2019,382,630,5127.0,33,30.0,47.0,1521.0,15
TB,2020,491,764,5837.0,52,15.0,28.0,2009.0,20
TB,2021,551,822,5983.0,46,13.0,30.0,1829.0,22
TEN,2019,336,511,4360.0,35,9.0,61.0,2726.0,24
TEN,2020,334,511,3991.0,35,8.0,26.0,2741.0,26
TEN,2021,374,559,3965.0,24,17.0,48.0,2544.0,24
WAS,2019,298,479,3205.0,18,13.0,50.0,1583.0,9
WAS,2020,415,645,4102.0,17,17.0,52.0,1697.0,20
WAS,2021,356,550,3746.0,21,15.0,43.0,2061.0,13
