player_id,season,season_type,completions,attempts,passing_yards,passing_tds,interceptions,sacks,sack_yards,sack_fumbles,sack_fumbles_lost,passing_air_yards,passing_yards_after_catch,passing_first_downs,passing_epa,passing_2pt_conversions,pacr,dakota,carries,rushing_yards,rushing_tds,rushing_fumbles,rushing_fumbles_lost,rushing_first_downs,rushing_epa,rushing_2pt_conversions,receptions,targets,receiving_yards,receiving_tds,receiving_fumbles,receiving_fumbles_lost,receiving_air_yards,receiving_yards_after_catch,receiving_first_downs,receiving_epa,receiving_2pt_conversions,racr,target_share,air_yards_share,wopr_x,special_teams_tds,fantasy_points,fantasy_points_ppr,games,tgt_sh,ay_sh,yac_sh,wopr_y,ry_sh,rtd_sh,rfd_sh,rtdfd_sh,dom,w8dom,yptmpa,ppr_sh
00-0019596,2016,REG,291,432,3554.0,28,2.0,15.0,87.0,4,0,3353.0,1744.0,163.0,147.29648005710285,1,13.359502540716697,2.2304430660219006,28,64.0,0,1.0,0.0,10.0,-5.717146960727405,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,258.56,258.56,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20146485896836527
00-0019596,2017,REG,385,581,4577.0,32,8.0,35.0,201.0,6,2,5308.0,1910.0,230.0,138.50818443449458,2,14.757794827119636,2.6240444178350972,25,28.0,0,1.0,1.0,7.0,-12.203784930788704,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,295.88,295.88,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18145913060543614
00-0019596,2018,REG,375,570,4355.0,29,11.0,21.0,147.0,4,2,4487.0,2121.0,205.0,92.55194421713175,0,16.84065926549696,2.0598924597742205,23,35.0,2,0.0,0.0,10.0,2.064228415690928,0,1,1,6.0,0,0.0,0.0,0.0,6.0,0.0,-0.22058557346463203,0,0.0,0.025,0.0,0.037500000000000006,0.0,280.3,281.3,16,0.0017421602787456446,0.0,0.0027573529411764708,0.002613240418118467,0.001362088535754824,0.0,0.0,0.0,0.000681044267877412,0.0010896708286038592,0.010452961672473868,0.17844455721897995
00-0020337,2016,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,70,101,799.0,5,0.0,0.0,873.0,281.0,39.0,36.78816458611039,2,14.114253086570221,2.555080416735904,3.0298646929403166,5.953525910162077,0.0,113.9,183.9,14,0.17206132879045996,0.2103107684895206,0.15172786177105832,0.42634060797730644,0.21092925026399156,0.25,0.21195652173913043,0.21568627450980393,0.23046462513199578,0.21874340021119326,1.3611584327086883,0.14281054887708508
00-0020531,2016,REG,471,673,5208.0,37,15.0,27.0,184.0,5,4,4795.0,2410.0,264.0,113.29107356053856,0,18.13725597523634,2.386811593186469,23,20.0,2,0.0,0.0,7.0,-5.724914374459358,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,332.32,332.32,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18236094648579831
00-0020531,2017,REG,386,536,4334.0,23,8.0,20.0,145.0,3,0,3417.0,2369.0,201.0,106.64644942046743,0,21.640208661103458,2.3674200541568777,33,12.0,2,2.0,0.0,7.0,-8.335351701101024,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,262.56,262.56,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1694197811274004
00-0020531,2018,REG,364,489,3992.0,32,5.0,17.0,121.0,3,1,3502.0,1827.0,199.0,159.19895505122125,1,18.773128887044326,3.1604980834647027,31,22.0,4,0.0,0.0,11.0,7.614698947552824,0,1,1,1.0,0,0.0,0.0,-2.0,3.0,0.0,-0.8488145875744522,0,0.0,0.034482758620689655,-0.0125,0.04297413793103448,0.0,303.98,304.98,15,0.002012072434607646,-0.0005505092210294523,0.0016260162601626016,0.0025777012750879073,0.0002465483234714004,0.0,0.0,0.0,0.0001232741617357002,0.00019723865877712034,0.002012072434607646,0.194138541255554
00-0020679,2016,REG,19,35,242.0,0,0.0,1.0,7.0,0,0,348.0,66.0,12.0,6.045880342577831,0,2.188046647230321,0.11164236856238224,5,5.0,0,0.0,0.0,0.0,-1.7856812339740777,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,10.18,10.18,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.040548076157093924
00-0021206,2016,REG,90,165,1100.0,6,6.0,18.0,126.0,5,4,1649.0,450.0,56.0,-26.370596484836565,1,3.204257219124753,0.053169681465650376,7,21.0,0,2.0,0.0,0.0,-3.7338760483038635,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,52.1,52.1,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13327535045533612
00-0021206,2017,REG,267,397,2926.0,18,9.0,39.0,264.0,7,3,3036.0,1256.0,133.0,14.320195225675935,0,13.084986529558101,1.6259360778690088,37,124.0,5,4.0,1.0,14.0,6.621053861803375,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,205.44,205.44,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19829350218138297
00-0021206,2018,REG,60,110,539.0,1,4.0,7.0,35.0,0,0,805.0,308.0,27.0,-32.38688326054918,0,1.9978941132913737,-0.03819246401867809,5,32.0,0,0.0,0.0,2.0,2.8468258538050577,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,20.76,20.76,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08576386019995043
00-0021429,2016,REG,364,597,4233.0,26,14.0,40.0,281.0,9,3,5635.0,1669.0,218.0,34.85178977190047,1,11.544474700804944,1.4729038083675454,14,38.0,0,5.0,1.0,3.0,-6.8024698321241885,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,243.12,243.12,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16811650324311614
00-0021429,2017,REG,164,267,1978.0,9,7.0,22.0,150.0,0,0,2499.0,743.0,94.0,-3.251267905359141,0,5.7017141075081055,0.5029543534592292,14,12.0,0,2.0,0.0,5.0,0.24301913405765108,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,102.32000000000001,102.32000000000001,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17414391721696507
00-0021547,2016,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,53,93,548.0,7,1.0,1.0,769.0,188.0,34.0,12.821653744635421,0,9.766388218897323,2.5962629893664375,2.5279264233746543,5.663942980411915,0.0,94.8,147.8,13,0.1987179487179487,0.19105590062111802,0.11612106238418778,0.4509216435738175,0.1567057477838147,0.25,0.19540229885057472,0.20297029702970298,0.20335287389190734,0.17536459822705175,1.170940170940171,0.1263917631565445
00-0021547,2017,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,30,52,316.0,3,0.0,0.0,432.0,66.0,16.0,3.9855019495361446,0,11.184118223177343,1.414265720626398,1.3819571525246555,3.0887685877068556,0.0,49.6,79.6,16,0.08919382504288165,0.09037656903765691,0.030697674418604652,0.206091992794448,0.06943528894748408,0.10714285714285714,0.07272727272727272,0.07661290322580645,0.08828907304517061,0.0769768025865587,0.5420240137221269,0.053833252177676774
00-0021547,2018,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,28,45,333.0,2,1.0,1.0,356.0,126.0,19.0,4.63839070640941,2,14.265516137973766,1.3836443374830376,1.4001950498091353,3.055603041090951,0.0,47.3,75.3,15,0.09259259259259259,0.09697630073549442,0.061855670103092786,0.21646992947728444,0.08145792563600783,0.06666666666666667,0.09405940594059406,0.09051724137931035,0.07406229615133725,0.0784996738421396,0.6851851851851852,0.05148295524469787
