recent_team,season,completions,attempts,passing_yards,passing_tds,interceptions,sacks,rushing_yards,rushing_tds
LA,2017,344,563,4282.0,29,7.0,31.0,2068.0,17
LA,2018,428,675,5454.0,33,14.0,38.0,2643.0,27
LAC,2016,349,580,4386.0,33,21.0,36.0,1510.0,10
LAC,2017,366,583,4551.0,28,11.0,18.0,1595.0,10
LAC,2018,395,595,4807.0,35,13.0,37.0,1981.0,18
LV,2016,397,641,4298.0,30,10.0,21.0,1986.0,18
LV,2017,347,558,3761.0,23,14.0,24.0,1554.0,13
LV,2018,382,556,4057.0,19,10.0,52.0,1628.0,9
MIA,2016,345,513,4005.0,28,16.0,35.0,1876.0,14
MIA,2017,373,602,3792.0,24,21.0,33.0,1388.0,4
MIA,2018,292,455,3309.0,26,13.0,52.0,1738.0,7
MIN,2016,414,588,4119.0,20,5.0,38.0,1205.0,9
MIN,2017,410,615,4518.0,27,11.0,30.0,2122.0,17
MIN,2018,425,606,4298.0,30,10.0,40.0,1493.0,9
NE,2016,461,693,5593.0,39,5.0,33.0,2131.0,23
NE,2017,479,728,5771.0,40,8.0,39.0,2149.0,20
NE,2018,463,699,5358.0,31,14.0,22.0,2522.0,27
NO,2016,472,674,5258.0,38,15.0,27.0,1742.0,17
NO,2017,434,610,5004.0,28,11.0,23.0,2191.0,25
NO,2018,435,598,4724.0,37,9.0,24.0,2210.0,26
NYG,2016,400,642,4326.0,27,17.0,24.0,1482.0,6
NYG,2017,373,608,3680.0,20,14.0,35.0,1549.0,6
NYG,2018,382,583,4405.0,23,12.0,47.0,1650.0,13
NYJ,2016,311,550,3645.0,16,25.0,35.0,1802.0,10
NYJ,2017,323,510,3501.0,19,12.0,47.0,1702.0,13
NYJ,2018,299,524,3404.0,18,19.0,37.0,1619.0,11
PHI,2016,380,609,3798.0,16,14.0,33.0,1813.0,16
PHI,2017,419,671,4939.0,45,10.0,38.0,2485.0,12
PHI,2018,465,670,4991.0,32,15.0,41.0,1661.0,13
PIT,2016,445,692,5112.0,36,19.0,23.0,2164.0,16
PIT,2017,422,649,5011.0,34,16.0,26.0,1750.0,13
PIT,2018,459,689,5174.0,35,17.0,24.0,1445.0,16
SEA,2016,408,627,4871.0,27,14.0,48.0,1869.0,14
SEA,2017,340,555,3979.0,34,12.0,43.0,1629.0,4
SEA,2018,298,454,3681.0,36,7.0,52.0,2633.0,16
SF,2016,287,491,3166.0,21,10.0,47.0,2019.0,15
SF,2017,362,607,4235.0,15,15.0,43.0,1662.0,15
SF,2018,331,532,4247.0,26,20.0,48.0,1902.0,7
TB,2016,355,578,4165.0,29,18.0,35.0,1616.0,8
TB,2017,378,605,4607.0,26,14.0,40.0,1450.0,8
TB,2018,408,625,5358.0,36,26.0,41.0,1523.0,11
TEN,2016,307,504,3720.0,29,11.0,28.0,2187.0,16
TEN,2017,348,565,3863.0,18,18.0,45.0,2100.0,19
TEN,2018,293,437,3255.0,16,12.0,47.0,2023.0,15
WAS,2016,407,607,4948.0,25,12.0,23.0,1696.0,17
WAS,2017,347,540,4093.0,27,13.0,41.0,1448.0,10
WAS,2018,311,509,3287.0,16,15.0,44.0,1774.0,12
