recent_team,season,completions,attempts,passing_yards,passing_tds,interceptions,sacks,rushing_yards,rushing_tds
ARI,2016,383,646,4425.0,28,17.0,41.0,1732.0,20
ARI,2017,339,598,3979.0,21,18.0,52.0,1386.0,6
ARI,2018,283,495,2884.0,15,18.0,52.0,1342.0,9
ATL,2016,444,635,5974.0,47,7.0,45.0,2232.0,24
ATL,2017,386,596,4574.0,23,12.0,30.0,2057.0,13
ATL,2018,428,617,4949.0,36,7.0,42.0,1573.0,11
BAL,2016,439,679,4343.0,20,16.0,33.0,1463.0,10
BAL,2017,363,567,3235.0,20,13.0,27.0,1856.0,14
BAL,2018,348,585,3902.0,20,10.0,39.0,2526.0,19
BUF,2016,286,474,3250.0,17,7.0,46.0,2630.0,29
BUF,2017,306,515,3213.0,16,12.0,49.0,2147.0,12
BUF,2018,270,498,3052.0,14,23.0,41.0,1984.0,15
CAR,2016,306,563,3962.0,21,19.0,36.0,1814.0,16
CAR,2017,317,542,3668.0,24,16.0,39.0,2209.0,15
CAR,2018,378,563,4071.0,28,16.0,32.0,2136.0,17
CHI,2016,347,559,4139.0,19,19.0,28.0,1735.0,10
CHI,2017,291,473,3085.0,13,12.0,39.0,1788.0,13
CHI,2018,370,555,4050.0,29,14.0,35.0,2003.0,16
CIN,2016,364,563,4206.0,18,8.0,41.0,1769.0,17
CIN,2017,304,510,3386.0,25,12.0,40.0,1366.0,6
CIN,2018,331,542,3569.0,27,13.0,37.0,1682.0,13
CLE,2016,338,567,3693.0,15,14.0,66.0,1712.0,13
CLE,2017,312,574,3537.0,15,28.0,50.0,1714.0,11
CLE,2018,353,574,4261.0,29,17.0,38.0,1893.0,15
DAL,2016,349,521,4101.0,28,7.0,30.0,2534.0,24
DAL,2017,309,493,3326.0,22,13.0,32.0,2170.0,18
DAL,2018,398,592,4377.0,24,9.0,58.0,2177.0,17
DEN,2016,339,570,3914.0,20,11.0,40.0,1484.0,11
DEN,2017,332,566,3668.0,19,22.0,52.0,1852.0,8
DEN,2018,367,588,3930.0,19,15.0,34.0,1907.0,18
DET,2016,406,626,4532.0,24,10.0,40.0,1359.0,9
DET,2017,374,570,4470.0,29,11.0,47.0,1221.0,10
DET,2018,375,574,3844.0,22,12.0,41.0,1660.0,11
GB,2016,483,748,5449.0,49,10.0,45.0,1962.0,14
GB,2017,352,562,3532.0,25,18.0,51.0,1724.0,13
GB,2018,392,640,4629.0,25,4.0,53.0,1667.0,14
HOU,2016,384,648,3783.0,17,19.0,35.0,2087.0,10
HOU,2017,299,525,3644.0,28,17.0,54.0,1842.0,8
HOU,2018,374,555,4400.0,27,10.0,65.0,2126.0,12
IND,2016,370,583,4491.0,32,15.0,44.0,1628.0,13
IND,2017,285,487,3226.0,13,9.0,56.0,1661.0,11
IND,2018,470,712,5020.0,42,16.0,21.0,2005.0,14
JAX,2016,369,626,3925.0,24,16.0,34.0,1631.0,8
JAX,2017,365,612,4310.0,24,13.0,29.0,2682.0,23
JAX,2018,329,536,3431.0,15,13.0,53.0,1723.0,7
KC,2016,385,580,4086.0,20,9.0,33.0,1809.0,16
KC,2017,387,576,4590.0,28,8.0,41.0,1972.0,13
KC,2018,428,655,5699.0,53,12.0,34.0,2076.0,21
LA,2016,312,536,3313.0,14,20.0,49.0,1252.0,9
