player_id,season,season_type,completions,attempts,passing_yards,passing_tds,interceptions,sacks,sack_yards,sack_fumbles,sack_fumbles_lost,passing_air_yards,passing_yards_after_catch,passing_first_downs,passing_epa,passing_2pt_conversions,pacr,dakota,carries,rushing_yards,rushing_tds,rushing_fumbles,rushing_fumbles_lost,rushing_first_downs,rushing_epa,rushing_2pt_conversions,receptions,targets,receiving_yards,receiving_tds,receiving_fumbles,receiving_fumbles_lost,receiving_air_yards,receiving_yards_after_catch,receiving_first_downs,receiving_epa,receiving_2pt_conversions,racr,target_share,air_yards_share,wopr_x,special_teams_tds,fantasy_points,fantasy_points_ppr,games,tgt_sh,ay_sh,yac_sh,wopr_y,ry_sh,rtd_sh,rfd_sh,rtdfd_sh,dom,w8dom,yptmpa,ppr_sh
00-0027776,2011,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,3,4,31.0,0,0.0,0.0,36.0,3.0,2.0,2.3716366341686808,0,1.7492260061919505,0.11655011655011654,0.13397206016164426,0.2686056169383258,0.0,3.1000000000000005,6.1000000000000005,2,0.05405405405405406,0.06521739130434782,0.04054054054054054,0.13325499412455935,0.09567901234567901,0.0,0.09523809523809523,0.09090909090909091,0.047839506172839504,0.07654320987654321,0.4189189189189189,0.054826532446521664
00-0027779,2010,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,35,160.0,0,1.0,0.0,8.0,-1.796491275489839,0,3,7,10.0,0,0.0,0.0,14.0,11.0,1.0,-1.7032621827383991,0,1.25,0.20202020202020202,0.05535061566189971,0.3417757339936328,0.0,17.0,20.0,6,0.040229885057471264,0.010174418604651164,0.019891500904159132,0.06848436246992783,0.007763975155279503,0.0,0.016129032258064516,0.0136986301369863,0.0038819875776397515,0.006211180124223603,0.05747126436781609,0.04269672516118014
00-0027779,2011,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,63,130.0,0,0.0,0.0,9.0,-17.09864062044151,0,14,19,120.0,0,0.0,0.0,-33.0,150.0,4.0,-4.121968057819612,0,-37.66666666666667,0.7170199692780338,-0.18723931774402575,0.9444624314962327,0.0,25.0,39.0,12,0.05604719764011799,-0.012401352874859075,0.1718213058419244,0.07414971416028972,0.06822057987492894,0.0,0.04938271604938271,0.045454545454545456,0.03411028993746447,0.05457646389994315,0.35398230088495575,0.06143086664776486
00-0027779,2012,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,6.0,6.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07422068283028203
00-0027780,2010,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,5,7,27.0,0,0.0,0.0,1.0,26.0,0.0,-1.638161452487111,0,11.0,0.20734759582752832,0.001090429433228816,0.31178469434455264,0.0,2.7,7.7,6,0.032407407407407406,0.0006489292667099286,0.034528552456839307,0.04913025452447905,0.020579268292682928,0.0,0.0,0.0,0.010289634146341464,0.016463414634146342,0.125,0.017995699728895954
00-0027780,2012,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,3,4,18.0,1,0.0,0.0,28.0,6.0,2.0,2.9091923504602164,0,2.666666666666667,0.10811965811965812,0.06132975208944707,0.20511031364210014,0.0,7.8,10.8,3,0.03076923076923077,0.020973782771535582,0.02054794520547945,0.06293287237107462,0.02181818181818182,0.2,0.05263157894736842,0.06976744186046512,0.11090909090909092,0.057454545454545466,0.13846153846153847,0.03603603603603604
00-0027783,2011,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,13,24,146.0,0,0.0,0.0,174.0,77.0,7.0,1.3463116073980927,0,20.107910906298002,0.7430026863236914,0.6110233735810432,1.5422203909922674,0.0,14.600000000000001,27.6,11,0.06593406593406594,0.054494206075790794,0.070902394106814,0.14249646376173156,0.06241983753740915,0.0,0.06542056074766354,0.0603448275862069,0.031209918768704575,0.049935870029927325,0.4010989010989011,0.03656791562880916
00-0027783,2012,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,18,28,291.0,3,0.0,0.0,222.0,152.0,13.0,11.96558192501513,0,16.606565656565657,1.1858972912142922,1.0363049869973362,2.5042594277195733,0.0,47.1,65.10000000000001,14,0.07777777777777778,0.0609387867142465,0.13706041478809738,0.16541769603806386,0.10300884955752213,0.14285714285714285,0.1,0.10596026490066225,0.12293299620733249,0.11097850821744627,0.8083333333333333,0.057432730480811656
00-0027786,2010,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,9,28.0,0,0.0,0.0,0.0,-2.8658414474339224,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,2.8000000000000003,2.8000000000000003,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023628691983122365
00-0027786,2011,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,16,123.0,0,0.0,0.0,2.0,0.6318615072523244,0,1,1,6.0,0,0.0,0.0,2.0,4.0,0.0,-1.0772801696984309,0,3.0,0.02857142857142857,0.007168458781362007,0.04787506400409626,0.0,12.9,13.9,3,0.012345679012345678,0.002296211251435132,0.016736401673640166,0.020355487519666624,0.009419152276295133,0.0,0.0,0.0,0.004709576138147566,0.0075353218210361065,0.07407407407407407,0.04749214158808255
