recent_team,season,completions,attempts,passing_yards,passing_tds,interceptions,sacks,rushing_yards,rushing_tds
ARI,2010,285,561,3264.0,11,19.0,50.0,1388.0,9
ARI,2011,307,550,3954.0,21,23.0,54.0,1625.0,12
ARI,2012,337,608,3383.0,11,21.0,58.0,1204.0,10
ATL,2010,381,606,3911.0,29,11.0,28.0,1936.0,15
ATL,2011,389,635,4564.0,29,13.0,28.0,1898.0,14
ATL,2012,476,692,5365.0,38,17.0,29.0,1645.0,12
BAL,2010,349,555,4019.0,28,11.0,49.0,2008.0,13
BAL,2011,350,607,4111.0,25,13.0,41.0,2199.0,15
BAL,2012,407,686,5136.0,33,11.0,44.0,2440.0,20
BUF,2010,296,519,3363.0,24,21.0,34.0,1720.0,6
BUF,2011,356,578,3857.0,24,25.0,23.0,1921.0,12
BUF,2012,309,511,3430.0,24,17.0,30.0,2217.0,12
CAR,2010,256,484,2635.0,9,21.0,50.0,1846.0,7
CAR,2011,312,519,4089.0,21,17.0,35.0,2408.0,26
CAR,2012,284,490,3927.0,19,12.0,36.0,2076.0,21
CHI,2010,310,533,3904.0,26,25.0,61.0,1875.0,14
CHI,2011,268,473,3346.0,18,20.0,49.0,2015.0,10
CHI,2012,287,485,3298.0,21,16.0,44.0,1970.0,11
CIN,2010,365,590,3988.0,26,20.0,28.0,1522.0,8
CIN,2011,335,577,3764.0,21,17.0,29.0,1854.0,11
CIN,2012,349,570,3934.0,28,17.0,48.0,1825.0,11
CLE,2010,296,478,3203.0,13,18.0,35.0,1647.0,13
CLE,2011,320,570,3300.0,16,13.0,39.0,1531.0,4
CLE,2012,328,566,3668.0,16,18.0,36.0,1593.0,12
DAL,2010,379,576,4208.0,29,19.0,31.0,1786.0,10
DAL,2011,376,570,4453.0,33,12.0,39.0,1807.0,5
DAL,2012,434,658,4992.0,29,19.0,36.0,1265.0,8
DEN,2010,334,580,4306.0,25,12.0,40.0,1544.0,13
DEN,2011,236,476,3160.0,22,13.0,47.0,2907.0,13
DEN,2012,430,631,4961.0,40,13.0,24.0,1957.0,12
DET,2010,383,633,4001.0,26,16.0,27.0,1613.0,11
DET,2011,458,719,5513.0,44,18.0,38.0,1566.0,11
DET,2012,445,740,5139.0,22,17.0,29.0,1613.0,17
GB,2010,442,673,5449.0,40,15.0,46.0,2010.0,15
GB,2011,401,597,5418.0,53,9.0,45.0,1705.0,12
GB,2012,423,630,4873.0,43,9.0,55.0,1882.0,12
HOU,2010,365,574,4370.0,24,12.0,32.0,2042.0,20
HOU,2011,316,522,4039.0,21,12.0,35.0,2767.0,21
HOU,2012,417,643,4651.0,24,15.0,29.0,2372.0,21
IND,2010,468,705,4925.0,34,17.0,17.0,1576.0,13
IND,2011,302,534,3223.0,14,14.0,35.0,1594.0,8
IND,2012,367,682,4662.0,23,19.0,44.0,1823.0,11
JAX,2010,291,469,3356.0,26,21.0,37.0,2386.0,14
JAX,2011,240,469,2510.0,12,15.0,44.0,1970.0,9
JAX,2012,328,586,3746.0,20,17.0,50.0,1369.0,5
