recent_team,season,completions,attempts,passing_yards,passing_tds,interceptions,sacks,rushing_yards,rushing_tds
KC,2010,283,493,3259.0,27,11.0,35.0,2735.0,14
KC,2011,299,500,3288.0,13,18.0,34.0,1893.0,5
KC,2012,273,475,2937.0,8,20.0,40.0,2395.0,9
LA,2010,354,590,3512.0,18,15.0,34.0,1578.0,9
LA,2011,292,549,3258.0,9,10.0,55.0,1667.0,7
LA,2012,332,557,3783.0,22,14.0,35.0,1714.0,5
LAC,2010,359,544,4746.0,30,13.0,38.0,1810.0,18
LAC,2011,366,582,4624.0,27,20.0,30.0,1864.0,16
LAC,2012,338,528,3606.0,26,15.0,49.0,1461.0,4
LV,2010,280,493,3472.0,18,16.0,44.0,2493.0,19
LV,2011,315,524,4119.0,20,23.0,25.0,2110.0,16
LV,2012,376,629,4292.0,24,16.0,27.0,1420.0,4
MIA,2010,336,558,3752.0,17,20.0,38.0,1646.0,8
MIA,2011,280,469,3425.0,20,13.0,52.0,1987.0,11
MIA,2012,293,504,3425.0,13,13.0,37.0,1802.0,15
MIN,2010,305,505,3327.0,14,26.0,36.0,1942.0,16
MIN,2011,286,510,3255.0,20,17.0,49.0,2318.0,18
MIN,2012,311,513,3115.0,19,13.0,35.0,2801.0,16
NE,2010,360,552,4321.0,39,6.0,30.0,2086.0,19
NE,2011,477,723,6135.0,47,16.0,35.0,2089.0,20
NE,2012,456,735,5508.0,39,11.0,28.0,2414.0,27
NO,2010,489,721,5040.0,35,22.0,27.0,1596.0,11
NO,2011,548,771,6492.0,53,16.0,29.0,2344.0,19
NO,2012,423,671,5187.0,43,19.0,26.0,1577.0,10
NYG,2010,339,539,4002.0,31,25.0,16.0,2200.0,17
NYG,2011,465,752,6152.0,38,17.0,39.0,1893.0,19
NYG,2012,323,539,3967.0,26,15.0,20.0,1862.0,18
NYJ,2010,342,614,4036.0,25,15.0,31.0,2732.0,17
NYJ,2011,310,547,3542.0,26,18.0,40.0,1692.0,14
NYJ,2012,272,493,3178.0,14,19.0,47.0,1896.0,12
PHI,2010,368,597,4507.0,29,14.0,52.0,2406.0,19
PHI,2011,330,554,4276.0,22,25.0,32.0,2276.0,20
PHI,2012,367,618,4075.0,18,15.0,48.0,1874.0,10
PIT,2010,352,570,4512.0,26,13.0,52.0,2287.0,20
PIT,2011,363,579,4622.0,22,16.0,47.0,2059.0,14
PIT,2012,354,574,4012.0,27,14.0,37.0,1537.0,8
SEA,2010,372,625,4063.0,21,21.0,39.0,1608.0,14
SEA,2011,299,509,3444.0,15,14.0,50.0,1756.0,15
SEA,2012,298,467,3806.0,30,11.0,40.0,2926.0,19
SF,2010,282,500,3613.0,19,15.0,44.0,1657.0,10
SF,2011,313,519,3688.0,23,5.0,51.0,2337.0,15
SF,2012,338,516,4349.0,27,10.0,46.0,3145.0,26
TB,2010,306,494,3564.0,26,6.0,30.0,2001.0,9
TB,2011,365,588,3838.0,17,24.0,32.0,1458.0,9
TB,2012,311,566,4144.0,27,17.0,26.0,1837.0,13
TEN,2010,273,474,3278.0,24,15.0,27.0,1727.0,13
TEN,2011,353,584,4113.0,22,14.0,24.0,1438.0,8
TEN,2012,318,540,3577.0,17,16.0,39.0,1687.0,10
WAS,2010,349,605,4261.0,21,19.0,46.0,1461.0,9
WAS,2011,346,591,4058.0,19,24.0,41.0,1592.0,8
WAS,2012,304,471,3781.0,26,9.0,35.0,2813.0,22
