season,week,gameday,weekday,gametime,home_team,away_team,location
2016,1,2016-09-08,Thursday,20:30,DEN,CAR,Home
2016,1,2016-09-11,Sunday,13:00,ATL,TB,Home
2016,1,2016-09-11,Sunday,13:00,BAL,BUF,Home
2016,1,2016-09-11,Sunday,13:00,HOU,CHI,Home
2016,1,2016-09-11,Sunday,13:00,JAX,GB,Home
2016,1,2016-09-11,Sunday,13:00,KC,SD,Home
2016,1,2016-09-11,Sunday,13:00,NO,OAK,Home
2016,1,2016-09-11,Sunday,13:00,NYJ,CIN,Home
2016,1,2016-09-11,Sunday,13:00,PHI,CLE,Home
2016,1,2016-09-11,Sunday,13:00,TEN,MIN,Home
2016,1,2016-09-11,Sunday,16:05,SEA,MIA,Home
2016,1,2016-09-11,Sunday,16:25,DAL,NYG,Home
2016,1,2016-09-11,Sunday,16:25,IND,DET,Home
2016,1,2016-09-11,Sunday,20:30,ARI,NE,Home
2016,1,2016-09-12,Monday,19:10,WAS,PIT,Home
2016,1,2016-09-12,Monday,22:20,SF,LA,Home
2016,2,2016-09-15,Thursday,20:25,BUF,NYJ,Home
2016,2,2016-09-18,Sunday,13:00,ARI,TB,Home
2016,2,2016-09-18,Sunday,13:00,CAR,SF,Home
2016,2,2016-09-18,Sunday,13:00,CLE,BAL,Home
2016,2,2016-09-18,Sunday,13:00,DET,TEN,Home
2016,2,2016-09-18,Sunday,13:00,HOU,KC,Home
2016,2,2016-09-18,Sunday,13:00,NE,MIA,Home
2016,2,2016-09-18,Sunday,13:00,NYG,NO,Home
2016,2,2016-09-18,Sunday,13:00,PIT,CIN,Home
2016,2,2016-09-18,Sunday,13:00,WAS,DAL,Home
2016,2,2016-09-18,Sunday,16:05,LA,SEA,Home
2016,2,2016-09-18,Sunday,16:25,DEN,IND,Home
2016,2,2016-09-18,Sunday,16:25,OAK,ATL,Home
2016,2,2016-09-18,Sunday,16:25,SD,JAX,Home
2016,2,2016-09-18,Sunday,20:30,MIN,GB,Home
2016,2,2016-09-19,Monday,20:30,CHI,PHI,Home
2016,3,2016-09-22,Thursday,20:25,NE,HOU,Home
2016,3,2016-09-25,Sunday,13:00,BUF,ARI,Home
2016,3,2016-09-25,Sunday,13:00,CAR,MIN,Home
2016,3,2016-09-25,Sunday,13:00,CIN,DEN,Home
2016,3,2016-09-25,Sunday,13:00,GB,DET,Home
2016,3,2016-09-25,Sunday,13:00,JAX,BAL,Home
2016,3,2016-09-25,Sunday,13:00,MIA,CLE,Home
2016,3,2016-09-25,Sunday,13:00,NYG,WAS,Home
2016,3,2016-09-25,Sunday,13:00,TEN,OAK,Home
2016,3,2016-09-25,Sunday,16:05,SEA,SF,Home
2016,3,2016-09-25,Sunday,16:05,TB,LA,Home
2016,3,2016-09-25,Sunday,16:25,IND,SD,Home
2016,3,2016-09-25,Sunday,16:25,KC,NYJ,Home
2016,3,2016-09-25,Sunday,16:25,PHI,PIT,Home
2016,3,2016-09-25,Sunday,20:30,DAL,CHI,Home
2016,3,2016-09-26,Monday,20:30,NO,ATL,Home
2016,4,2016-09-29,Thursday,20:25,CIN,MIA,Home
2016,4,2016-10-02,Sunday,09:30,JAX,IND,Neutral
2016,4,2016-10-02,Sunday,13:00,ATL,CAR,Home
2016,4,2016-10-02,Sunday,13:00,BAL,OAK,Home
2016,4,2016-10-02,Sunday,13:00,CHI,DET,Home
2016,4,2016-10-02,Sunday,13:00,HOU,TEN,Home
2016,4,2016-10-02,Sunday,13:00,NE,BUF,Home
2016,4,2016-10-02,Sunday,13:00,NYJ,SEA,Home
2016,4,2016-10-02,Sunday,13:00,WAS,CLE,Home
2016,4,2016-10-02,Sunday,16:05,TB,DEN,Home
2016,4,2016-10-02,Sunday,16:25,ARI,LA,Home
2016,4,2016-10-02,Sunday,16:25,SD,NO,Home
2016,4,2016-10-02,Sunday,16:25,SF,DAL,Home
2016,4,2016-10-02,Sunday,20:30,PIT,KC,Home
2016,4,2016-10-03,Monday,20:30,MIN,NYG,Home
2016,5,2016-10-06,Thursday,20:25,SF,ARI,Home
2016,5,2016-10-09,Sunday,13:00,BAL,WAS,Home
2016,5,2016-10-09,Sunday,13:00,CLE,NE,Home
2016,5,2016-10-09,Sunday,13:00,DET,PHI,Home
2016,5,2016-10-09,Sunday,13:00,IND,CHI,Home
2016,5,2016-10-09,Sunday,13:00,MIA,TEN,Home
2016,5,2016-10-09,Sunday,13:00,MIN,HOU,Home
