season,week,gameday,weekday,gametime,home_team,away_team,location
2019,1,2019-09-05,Thursday,20:20,CHI,GB,Home
2019,1,2019-09-08,Sunday,13:00,CAR,LA,Home
2019,1,2019-09-08,Sunday,13:00,CLE,TEN,Home
2019,1,2019-09-08,Sunday,13:00,JAX,KC,Home
2019,1,2019-09-08,Sunday,13:00,MIA,BAL,Home
2019,1,2019-09-08,Sunday,13:00,MIN,ATL,Home
2019,1,2019-09-08,Sunday,13:00,NYJ,BUF,Home
2019,1,2019-09-08,Sunday,13:00,PHI,WAS,Home
2019,1,2019-09-08,Sunday,16:05,LAC,IND,Home
2019,1,2019-09-08,Sunday,16:05,SEA,CIN,Home
2019,1,2019-09-08,Sunday,16:25,ARI,DET,Home
2019,1,2019-09-08,Sunday,16:25,DAL,NYG,Home
2019,1,2019-09-08,Sunday,16:25,TB,SF,Home
2019,1,2019-09-08,Sunday,20:20,NE,PIT,Home
2019,1,2019-09-09,Monday,19:10,NO,HOU,Home
2019,1,2019-09-09,Monday,22:20,OAK,DEN,Home
2019,2,2019-09-12,Thursday,20:20,CAR,TB,Home
2019,2,2019-09-15,Sunday,13:00,BAL,ARI,Home
2019,2,2019-09-15,Sunday,13:00,CIN,SF,Home
2019,2,2019-09-15,Sunday,13:00,DET,LAC,Home
2019,2,2019-09-15,Sunday,13:00,GB,MIN,Home
2019,2,2019-09-15,Sunday,13:00,HOU,JAX,Home
2019,2,2019-09-15,Sunday,13:00,MIA,NE,Home
2019,2,2019-09-15,Sunday,13:00,NYG,BUF,Home
2019,2,2019-09-15,Sunday,13:00,PIT,SEA,Home
2019,2,2019-09-15,Sunday,13:00,TEN,IND,Home
2019,2,2019-09-15,Sunday,13:00,WAS,DAL,Home
2019,2,2019-09-15,Sunday,16:05,OAK,KC,Home
2019,2,2019-09-15,Sunday,16:25,DEN,CHI,Home
2019,2,2019-09-15,Sunday,16:25,LA,NO,Home
2019,2,2019-09-15,Sunday,20:20,ATL,PHI,Home
2019,2,2019-09-16,Monday,20:15,NYJ,CLE,Home
2019,3,2019-09-19,Thursday,20:20,JAX,TEN,Home
2019,3,2019-09-22,Sunday,13:00,BUF,CIN,Home
2019,3,2019-09-22,Sunday,13:00,DAL,MIA,Home
2019,3,2019-09-22,Sunday,13:00,GB,DEN,Home
2019,3,2019-09-22,Sunday,13:00,IND,ATL,Home
2019,3,2019-09-22,Sunday,13:00,KC,BAL,Home
2019,3,2019-09-22,Sunday,13:00,MIN,OAK,Home
2019,3,2019-09-22,Sunday,13:00,NE,NYJ,Home
2019,3,2019-09-22,Sunday,13:00,PHI,DET,Home
2019,3,2019-09-22,Sunday,16:05,ARI,CAR,Home
