season,week,gameday,weekday,gametime,home_team,away_team,location
2020,1,2020-09-10,Thursday,20:20,KC,HOU,Home
2020,1,2020-09-13,Sunday,13:00,ATL,SEA,Home
2020,1,2020-09-13,Sunday,13:00,BAL,CLE,Home
2020,1,2020-09-13,Sunday,13:00,BUF,NYJ,Home
2020,1,2020-09-13,Sunday,13:00,CAR,LV,Home
2020,1,2020-09-13,Sunday,13:00,DET,CHI,Home
2020,1,2020-09-13,Sunday,13:00,JAX,IND,Home
2020,1,2020-09-13,Sunday,13:00,MIN,GB,Home
2020,1,2020-09-13,Sunday,13:00,NE,MIA,Home
2020,1,2020-09-13,Sunday,13:00,WAS,PHI,Home
2020,1,2020-09-13,Sunday,16:05,CIN,LAC,Home
2020,1,2020-09-13,Sunday,16:25,NO,TB,Home
2020,1,2020-09-13,Sunday,16:25,SF,ARI,Home
2020,1,2020-09-13,Sunday,20:20,LA,DAL,Home
2020,1,2020-09-14,Monday,19:15,NYG,PIT,Home
2020,1,2020-09-14,Monday,22:10,DEN,TEN,Home
2020,2,2020-09-17,Thursday,20:20,CLE,CIN,Home
2020,2,2020-09-20,Sunday,13:00,CHI,NYG,Home
2020,2,2020-09-20,Sunday,13:00,DAL,ATL,Home
2020,2,2020-09-20,Sunday,13:00,GB,DET,Home
2020,2,2020-09-20,Sunday,13:00,IND,MIN,Home
2020,2,2020-09-20,Sunday,13:00,MIA,BUF,Home
2020,2,2020-09-20,Sunday,13:00,NYJ,SF,Home
2020,2,2020-09-20,Sunday,13:00,PHI,LA,Home
2020,2,2020-09-20,Sunday,13:00,PIT,DEN,Home
2020,2,2020-09-20,Sunday,13:00,TB,CAR,Home
2020,2,2020-09-20,Sunday,13:00,TEN,JAX,Home
2020,2,2020-09-20,Sunday,16:05,ARI,WAS,Home
2020,2,2020-09-20,Sunday,16:25,HOU,BAL,Home
2020,2,2020-09-20,Sunday,16:25,LAC,KC,Home
2020,2,2020-09-20,Sunday,20:20,SEA,NE,Home
2020,2,2020-09-21,Monday,20:15,LV,NO,Home
2020,3,2020-09-24,Thursday,20:20,JAX,MIA,Home
2020,3,2020-09-27,Sunday,13:00,ATL,CHI,Home
2020,3,2020-09-27,Sunday,13:00,BUF,LA,Home
2020,3,2020-09-27,Sunday,13:00,CLE,WAS,Home
