season,week,gameday,weekday,gametime,home_team,away_team,location
2022,1,2022-09-08,Thursday,20:20,LA,BUF,Home
2022,1,2022-09-11,Sunday,13:00,ATL,NO,Home
2022,1,2022-09-11,Sunday,13:00,CAR,CLE,Home
2022,1,2022-09-11,Sunday,13:00,CHI,SF,Home
2022,1,2022-09-11,Sunday,13:00,CIN,PIT,Home
2022,1,2022-09-11,Sunday,13:00,DET,PHI,Home
2022,1,2022-09-11,Sunday,13:00,HOU,IND,Home
2022,1,2022-09-11,Sunday,13:00,MIA,NE,Home
2022,1,2022-09-11,Sunday,13:00,NYJ,BAL,Home
2022,1,2022-09-11,Sunday,13:00,WAS,JAX,Home
2022,1,2022-09-11,Sunday,16:25,ARI,KC,Home
2022,1,2022-09-11,Sunday,16:25,LAC,LV,Home
2022,1,2022-09-11,Sunday,16:25,MIN,GB,Home
2022,1,2022-09-11,Sunday,16:25,TEN,NYG,Home
2022,1,2022-09-11,Sunday,20:20,DAL,TB,Home
2022,1,2022-09-12,Monday,20:15,SEA,DEN,Home
2022,2,2022-09-15,Thursday,20:15,KC,LAC,Home
2022,2,2022-09-18,Sunday,13:00,BAL,MIA,Home
2022,2,2022-09-18,Sunday,13:00,CLE,NYJ,Home
2022,2,2022-09-18,Sunday,13:00,DET,WAS,Home
2022,2,2022-09-18,Sunday,13:00,JAX,IND,Home
2022,2,2022-09-18,Sunday,13:00,NO,TB,Home
2022,2,2022-09-18,Sunday,13:00,NYG,CAR,Home
2022,2,2022-09-18,Sunday,13:00,PIT,NE,Home
2022,2,2022-09-18,Sunday,16:05,LA,ATL,Home
2022,2,2022-09-18,Sunday,16:05,SF,SEA,Home
2022,2,2022-09-18,Sunday,16:25,DAL,CIN,Home
2022,2,2022-09-18,Sunday,16:25,DEN,HOU,Home
2022,2,2022-09-18,Sunday,16:25,LV,ARI,Home
2022,2,2022-09-18,Sunday,20:20,GB,CHI,Home
2022,2,2022-09-19,Monday,19:15,BUF,TEN,Home
2022,2,2022-09-19,Monday,20:30,PHI,MIN,Home
2022,3,2022-09-22,Thursday,20:15,CLE,PIT,Home
2022,3,2022-09-25,Sunday,13:00,CAR,NO,Home
2022,3,2022-09-25,Sunday,13:00,CHI,HOU,Home
2022,3,2022-09-25,Sunday,13:00,IND,KC,Home
2022,3,2022-09-25,Sunday,13:00,MIA,BUF,Home
2022,3,2022-09-25,Sunday,13:00,MIN,DET,Home
2022,3,2022-09-25,Sunday,13:00,NE,BAL,Home
2022,3,2022-09-25,Sunday,13:00,NYJ,CIN,Home
2022,3,2022-09-25,Sunday,13:00,TEN,LV,Home
2022,3,2022-09-25,Sunday,13:00,WAS,PHI,Home
2022,3,2022-09-25,Sunday,16:05,LAC,JAX,Home
2022,3,2022-09-25,Sunday,16:25,ARI,LA,Home
2022,3,2022-09-25,Sunday,16:25,SEA,ATL,Home
2022,3,2022-09-25,Sunday,16:25,TB,GB,Home
2022,3,2022-09-25,Sunday,20:20,DEN,SF,Home
2022,3,2022-09-26,Monday,20:15,NYG,DAL,Home
2022,4,2022-09-29,Thursday,20:15,CIN,MIA,Home
2022,4,2022-10-02,Sunday,09:30,NO,MIN,Neutral
2022,4,2022-10-02,Sunday,13:00,ATL,CLE,Home
2022,4,2022-10-02,Sunday,13:00,BAL,BUF,Home
2022,4,2022-10-02,Sunday,13:00,DAL,WAS,Home
2022,4,2022-10-02,Sunday,13:00,DET,SEA,Home
2022,4,2022-10-02,Sunday,13:00,HOU,LAC,Home
2022,4,2022-10-02,Sunday,13:00,IND,TEN,Home
2022,4,2022-10-02,Sunday,13:00,NYG,CHI,Home
2022,4,2022-10-02,Sunday,13:00,PHI,JAX,Home
2022,4,2022-10-02,Sunday,13:00,PIT,NYJ,Home
2022,4,2022-10-02,Sunday,16:05,CAR,ARI,Home
2022,4,2022-10-02,Sunday,16:25,GB,NE,Home
2022,4,2022-10-02,Sunday,16:25,LV,DEN,Home
2022,4,2022-10-02,Sunday,20:20,TB,KC,Home
2022,4,2022-10-03,Monday,20:15,SF,LA,Home
2022,5,2022-10-06,Thursday,20:15,DEN,IND,Home
2022,5,2022-10-09,Sunday,09:30,GB,NYG,Neutral
2022,5,2022-10-09,Sunday,13:00,BUF,PIT,Home
2022,5,2022-10-09,Sunday,13:00,CLE,LAC,Home
2022,5,2022-10-09,Sunday,13:00,JAX,HOU,Home
2022,5,2022-10-09,Sunday,13:00,MIN,CHI,Home
2022,5,2022-10-09,Sunday,13:00,NE,DET,Home
2022,5,2022-10-09,Sunday,13:00,NO,SEA,Home
2022,5,2022-10-09,Sunday,13:00,NYJ,MIA,Home
2022,5,2022-10-09,Sunday,13:00,TB,ATL,Home
2022,5,2022-10-09,Sunday,13:00,WAS,TEN,Home
2022,5,2022-10-09,Sunday,16:05,CAR,SF,Home
2022,5,2022-10-09,Sunday,16:25,ARI,PHI,Home
2022,5,2022-10-09,Sunday,16:25,LA,DAL,Home
2022,5,2022-10-09,Sunday,20:20,BAL,CIN,Home
2022,5,2022-10-10,Monday,20:15,KC,LV,Home
2022,6,2022-10-13,Thursday,20:15,CHI,WAS,Home
2022,6,2022-10-16,Sunday,13:00,ATL,SF,Home
2022,6,2022-10-16,Sunday,13:00,CLE,NE,Home
2022,6,2022-10-16,Sunday,13:00,GB,NYJ,Home
2022,6,2022-10-16,Sunday,13:00,IND,JAX,Home
2022,6,2022-10-16,Sunday,13:00,MIA,MIN,Home
2022,6,2022-10-16,Sunday,13:00,NO,CIN,Home
2022,6,2022-10-16,Sunday,13:00,NYG,BAL,Home
2022,6,2022-10-16,Sunday,13:00,PIT,TB,Home
2022,6,2022-10-16,Sunday,16:05,LA,CAR,Home
2022,6,2022-10-16,Sunday,16:05,SEA,ARI,Home
2022,6,2022-10-16,Sunday,16:25,KC,BUF,Home
2022,6,2022-10-16,Sunday,20:20,PHI,DAL,Home
2022,6,2022-10-17,Monday,20:15,LAC,DEN,Home
2022,7,2022-10-20,Thursday,20:15,ARI,NO,Home
2022,7,2022-10-23,Sunday,13:00,BAL,CLE,Home
2022,7,2022-10-23,Sunday,13:00,CAR,TB,Home
2022,7,2022-10-23,Sunday,13:00,CIN,ATL,Home
2022,7,2022-10-23,Sunday,13:00,DAL,DET,Home
2022,7,2022-10-23,Sunday,13:00,JAX,NYG,Home
2022,7,2022-10-23,Sunday,13:00,TEN,IND,Home
2022,7,2022-10-23,Sunday,13:00,WAS,GB,Home
2022,7,2022-10-23,Sunday,16:05,DEN,NYJ,Home
2022,7,2022-10-23,Sunday,16:05,LV,HOU,Home
2022,7,2022-10-23,Sunday,16:25,LAC,SEA,Home
2022,7,2022-10-23,Sunday,16:25,SF,KC,Home
2022,7,2022-10-23,Sunday,20:20,MIA,PIT,Home
2022,7,2022-10-24,Monday,20:15,NE,CHI,Home
2022,8,2022-10-27,Thursday,20:15,TB,BAL,Home
2022,8,2022-10-30,Sunday,09:30,JAX,DEN,Neutral
2022,8,2022-10-30,Sunday,13:00,ATL,CAR,Home
2022,8,2022-10-30,Sunday,13:00,DAL,CHI,Home
2022,8,2022-10-30,Sunday,13:00,DET,MIA,Home
2022,8,2022-10-30,Sunday,13:00,MIN,ARI,Home
2022,8,2022-10-30,Sunday,13:00,NO,LV,Home
2022,8,2022-10-30,Sunday,13:00,NYJ,NE,Home
2022,8,2022-10-30,Sunday,13:00,PHI,PIT,Home
2022,8,2022-10-30,Sunday,16:05,HOU,TEN,Home
2022,8,2022-10-30,Sunday,16:25,IND,WAS,Home
2022,8,2022-10-30,Sunday,16:25,LA,SF,Home
2022,8,2022-10-30,Sunday,16:25,SEA,NYG,Home
2022,8,2022-10-30,Sunday,20:20,BUF,GB,Home
2022,8,2022-10-31,Monday,20:15,CLE,CIN,Home
2022,9,2022-11-03,Thursday,20:15,HOU,PHI,Home
2022,9,2022-11-06,Sunday,13:00,ATL,LAC,Home
2022,9,2022-11-06,Sunday,13:00,CHI,MIA,Home
2022,9,2022-11-06,Sunday,13:00,CIN,CAR,Home
2022,9,2022-11-06,Sunday,13:00,DET,GB,Home
2022,9,2022-11-06,Sunday,13:00,JAX,LV,Home
2022,9,2022-11-06,Sunday,13:00,NE,IND,Home
2022,9,2022-11-06,Sunday,13:00,NYJ,BUF,Home
2022,9,2022-11-06,Sunday,13:00,WAS,MIN,Home
2022,9,2022-11-06,Sunday,16:05,ARI,SEA,Home
2022,9,2022-11-06,Sunday,16:25,TB,LA,Home
2022,9,2022-11-06,Sunday,20:20,KC,TEN,Home
2022,9,2022-11-07,Monday,20:15,NO,BAL,Home
2022,10,2022-11-10,Thursday,20:15,CAR,ATL,Home
2022,10,2022-11-13,Sunday,09:30,TB,SEA,Neutral
2022,10,2022-11-13,Sunday,13:00,BUF,MIN,Home
2022,10,2022-11-13,Sunday,13:00,CHI,DET,Home
2022,10,2022-11-13,Sunday,13:00,KC,JAX,Home
2022,10,2022-11-13,Sunday,13:00,MIA,CLE,Home
2022,10,2022-11-13,Sunday,13:00,NYG,HOU,Home
2022,10,2022-11-13,Sunday,13:00,PIT,NO,Home
2022,10,2022-11-13,Sunday,13:00,TEN,DEN,Home
2022,10,2022-11-13,Sunday,16:05,LV,IND,Home
2022,10,2022-11-13,Sunday,16:25,GB,DAL,Home
2022,10,2022-11-13,Sunday,16:25,LA,ARI,Home
2022,10,2022-11-13,Sunday,20:20,SF,LAC,Home
2022,10,2022-11-14,Monday,20:15,PHI,WAS,Home
2022,11,2022-11-17,Thursday,20:15,GB,TEN,Home
2022,11,2022-11-20,Sunday,13:00,ATL,CHI,Home
2022,11,2022-11-20,Sunday,13:00,BAL,CAR,Home
2022,11,2022-11-20,Sunday,13:00,BUF,CLE,Neutral
2022,11,2022-11-20,Sunday,13:00,HOU,WAS,Home
2022,11,2022-11-20,Sunday,13:00,IND,PHI,Home
2022,11,2022-11-20,Sunday,13:00,NE,NYJ,Home
2022,11,2022-11-20,Sunday,13:00,NO,LA,Home
2022,11,2022-11-20,Sunday,13:00,NYG,DET,Home
2022,11,2022-11-20,Sunday,16:05,DEN,LV,Home
2022,11,2022-11-20,Sunday,16:25,MIN,DAL,Home
2022,11,2022-11-20,Sunday,16:25,PIT,CIN,Home
2022,11,2022-11-20,Sunday,20:20,LAC,KC,Home
2022,11,2022-11-21,Monday,20:15,ARI,SF,Neutral
2022,12,2022-11-24,Thursday,12:30,DET,BUF,Home
2022,12,2022-11-24,Thursday,16:30,DAL,NYG,Home
2022,12,2022-11-24,Thursday,20:20,MIN,NE,Home
2022,12,2022-11-27,Sunday,13:00,CAR,DEN,Home
2022,12,2022-11-27,Sunday,13:00,CLE,TB,Home
2022,12,2022-11-27,Sunday,13:00,JAX,BAL,Home
2022,12,2022-11-27,Sunday,13:00,MIA,HOU,Home
2022,12,2022-11-27,Sunday,13:00,NYJ,CHI,Home
2022,12,2022-11-27,Sunday,13:00,TEN,CIN,Home
2022,12,2022-11-27,Sunday,13:00,WAS,ATL,Home
2022,12,2022-11-27,Sunday,16:05,ARI,LAC,Home
2022,12,2022-11-27,Sunday,16:05,SEA,LV,Home
2022,12,2022-11-27,Sunday,16:25,KC,LA,Home
2022,12,2022-11-27,Sunday,16:25,SF,NO,Home
2022,12,2022-11-27,Sunday,20:20,PHI,GB,Home
2022,12,2022-11-28,Monday,20:15,IND,PIT,Home
2022,13,2022-12-01,Thursday,20:15,NE,BUF,Home
2022,13,2022-12-04,Sunday,13:00,ATL,PIT,Home
2022,13,2022-12-04,Sunday,13:00,BAL,DEN,Home
2022,13,2022-12-04,Sunday,13:00,CHI,GB,Home
2022,13,2022-12-04,Sunday,13:00,DET,JAX,Home
2022,13,2022-12-04,Sunday,13:00,HOU,CLE,Home
2022,13,2022-12-04,Sunday,13:00,MIN,NYJ,Home
2022,13,2022-12-04,Sunday,13:00,NYG,WAS,Home
2022,13,2022-12-04,Sunday,13:00,PHI,TEN,Home
2022,13,2022-12-04,Sunday,16:05,LA,SEA,Home
2022,13,2022-12-04,Sunday,16:05,SF,MIA,Home
2022,13,2022-12-04,Sunday,16:25,CIN,KC,Home
2022,13,2022-12-04,Sunday,16:25,LV,LAC,Home
2022,13,2022-12-04,Sunday,20:20,DAL,IND,Home
2022,13,2022-12-05,Monday,20:15,TB,NO,Home
2022,14,2022-12-08,Thursday,20:15,LA,LV,Home
2022,14,2022-12-11,Sunday,13:00,BUF,NYJ,Home
2022,14,2022-12-11,Sunday,13:00,CIN,CLE,Home
2022,14,2022-12-11,Sunday,13:00,DAL,HOU,Home
2022,14,2022-12-11,Sunday,13:00,DET,MIN,Home
2022,14,2022-12-11,Sunday,13:00,NYG,PHI,Home
2022,14,2022-12-11,Sunday,13:00,PIT,BAL,Home
2022,14,2022-12-11,Sunday,13:00,TEN,JAX,Home
