season,week,gameday,weekday,gametime,home_team,away_team,location
2013,1,2013-09-05,Thursday,20:30,DEN,BAL,Home
2013,1,2013-09-08,Sunday,13:00,BUF,NE,Home
2013,1,2013-09-08,Sunday,13:00,CAR,SEA,Home
2013,1,2013-09-08,Sunday,13:00,CHI,CIN,Home
2013,1,2013-09-08,Sunday,13:00,CLE,MIA,Home
2013,1,2013-09-08,Sunday,13:00,DET,MIN,Home
2013,1,2013-09-08,Sunday,13:00,IND,OAK,Home
2013,1,2013-09-08,Sunday,13:00,JAX,KC,Home
2013,1,2013-09-08,Sunday,13:00,NO,ATL,Home
2013,1,2013-09-08,Sunday,13:00,NYJ,TB,Home
2013,1,2013-09-08,Sunday,13:00,PIT,TEN,Home
2013,1,2013-09-08,Sunday,16:25,SF,GB,Home
2013,1,2013-09-08,Sunday,16:25,STL,ARI,Home
2013,1,2013-09-08,Sunday,20:30,DAL,NYG,Home
2013,1,2013-09-09,Monday,19:00,WAS,PHI,Home
2013,1,2013-09-09,Monday,22:15,SD,HOU,Home
2013,2,2013-09-12,Thursday,20:25,NE,NYJ,Home
2013,2,2013-09-15,Sunday,13:00,ATL,STL,Home
2013,2,2013-09-15,Sunday,13:00,BAL,CLE,Home
2013,2,2013-09-15,Sunday,13:00,BUF,CAR,Home
2013,2,2013-09-15,Sunday,13:00,CHI,MIN,Home
2013,2,2013-09-15,Sunday,13:00,GB,WAS,Home
2013,2,2013-09-15,Sunday,13:00,HOU,TEN,Home
2013,2,2013-09-15,Sunday,13:00,IND,MIA,Home
2013,2,2013-09-15,Sunday,13:00,KC,DAL,Home
2013,2,2013-09-15,Sunday,13:00,PHI,SD,Home
2013,2,2013-09-15,Sunday,16:05,ARI,DET,Home
2013,2,2013-09-15,Sunday,16:05,TB,NO,Home
2013,2,2013-09-15,Sunday,16:25,NYG,DEN,Home
2013,2,2013-09-15,Sunday,16:25,OAK,JAX,Home
2013,2,2013-09-15,Sunday,20:30,SEA,SF,Home
2013,2,2013-09-16,Monday,20:30,CIN,PIT,Home
2013,3,2013-09-19,Thursday,20:25,PHI,KC,Home
2013,3,2013-09-22,Sunday,13:00,BAL,HOU,Home
2013,3,2013-09-22,Sunday,13:00,CAR,NYG,Home
2013,3,2013-09-22,Sunday,13:00,CIN,GB,Home
2013,3,2013-09-22,Sunday,13:00,DAL,STL,Home
2013,3,2013-09-22,Sunday,13:00,MIN,CLE,Home
2013,3,2013-09-22,Sunday,13:00,NE,TB,Home
2013,3,2013-09-22,Sunday,13:00,NO,ARI,Home
2013,3,2013-09-22,Sunday,13:00,TEN,SD,Home
2013,3,2013-09-22,Sunday,13:00,WAS,DET,Home
2013,3,2013-09-22,Sunday,16:05,MIA,ATL,Home
2013,3,2013-09-22,Sunday,16:25,NYJ,BUF,Home
2013,3,2013-09-22,Sunday,16:25,SEA,JAX,Home
2013,3,2013-09-22,Sunday,16:25,SF,IND,Home
2013,3,2013-09-22,Sunday,20:30,PIT,CHI,Home
2013,3,2013-09-23,Monday,20:30,DEN,OAK,Home
2013,4,2013-09-26,Thursday,20:25,STL,SF,Home
2013,4,2013-09-29,Sunday,13:00,BUF,BAL,Home
2013,4,2013-09-29,Sunday,13:00,CLE,CIN,Home
2013,4,2013-09-29,Sunday,13:00,DET,CHI,Home
2013,4,2013-09-29,Sunday,13:00,HOU,SEA,Home
2013,4,2013-09-29,Sunday,13:00,JAX,IND,Home
2013,4,2013-09-29,Sunday,13:00,KC,NYG,Home
2013,4,2013-09-29,Sunday,13:00,MIN,PIT,Neutral
2013,4,2013-09-29,Sunday,13:00,TB,ARI,Home
2013,4,2013-09-29,Sunday,16:05,TEN,NYJ,Home
2013,4,2013-09-29,Sunday,16:25,DEN,PHI,Home
2013,4,2013-09-29,Sunday,16:25,OAK,WAS,Home
2013,4,2013-09-29,Sunday,16:25,SD,DAL,Home
2013,4,2013-09-29,Sunday,20:30,ATL,NE,Home
2013,4,2013-09-30,Monday,20:30,NO,MIA,Home
2013,5,2013-10-03,Thursday,20:25,CLE,BUF,Home
2013,5,2013-10-06,Sunday,13:00,CHI,NO,Home
2013,5,2013-10-06,Sunday,13:00,CIN,NE,Home
2013,5,2013-10-06,Sunday,13:00,GB,DET,Home
2013,5,2013-10-06,Sunday,13:00,IND,SEA,Home
